gene_id,gene_symbol,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
ENSG00000259590,Gm7816,41.61824057,36.90031706,49.53957159,48.343856,54.26530129,44.17669022,19.15954999,30.13208442,40.98229558,49.10959963
ENSG00000259921,Gm13498,11.16586942,30.34026069,16.79307512,9.234219686,8.9203235,12.99314418,13.41168499,8.37002345,17.99222733,14.82553951
ENSG00000259706,Pex13-ps,0,0,0,0,0,1.113698073,0,0.837002345,0,0
ENSG00000270127,Gm11838,0,0,0.839653756,0,0,0,0,0,0,0.926596219
ENSG00000189419,Gm13332,3.045237115,6.560056366,1.679307512,0.543189393,2.230080875,4.0835596,8.621797494,7.533021105,4.997840924,6.486173535
ENSG00000295388,Ctsf,381.6697184,297.6625576,361.8907688,285.7176209,335.2554915,397.2189793,88.13392994,82.02622981,288.8752054,239.9884208
ENSG00000259430,Gm15361,16.24126461,31.16026774,29.38788145,27.15946966,20.81408817,21.16026338,43.10898747,40.17611256,35.98445465,19.45852061
ENSG00000154227,Gm13688,8.120632307,0.820007046,2.518961267,3.802325753,0.743360292,2.598628836,4.789887497,2.511007035,2.998704554,8.339365974
ENSG00000294907,Gm13502,3.045237115,16.40014092,15.95342136,28.24584845,31.22113225,15.96300571,20.11752749,25.11007035,23.98963644,7.412769755
ENSG00000290767,Csnk2a1-ps,0,0.820007046,0,0,0.743360292,0,0.957977499,2.511007035,0,0
ENSG00000259655,Gm13679,0,0,0,0,0,0,0,0,0,0
ENSG00000241588,Gm12110,0,0,0,0,0,1.113698073,0,0,0,0
ENSG00000182397,Gm13315,0,0,0,0,0,0,0,0,0,0
ENSG00000259363,AA414768,31.46745019,31.98027479,22.67065141,31.50498481,24.53088962,27.09998644,11.49572999,7.533021105,26.98834099,21.31171304
ENSG00000140470,Gm5643,10.15079038,19.6801691,22.67065141,15.7524924,13.38048525,8.1671192,17.24359499,18.41405159,18.99179551,13.89894329
ENSG00000259219,Gm15192,0,0,0,0,0,0,0,0,0,0
ENSG00000252957,Gm13935,1.015079038,0,0,0,0.743360292,0,0.957977499,0.837002345,0,0
ENSG00000259356,Gm14121,76.13092788,95.94082436,106.636027,98.31728018,86.22979383,116.1958323,125.4950524,128.8983611,113.9507731,113.971335
ENSG00000259579,Rpl38-ps1,16.24126461,7.380063412,9.236191314,2.172757573,7.433602916,3.712326909,9.579774994,4.185011725,13.99395459,13.89894329
ENSG00000301132,Vcp-rs,815.1084678,1334.971471,801.8693368,1077.144567,1150.721731,971.8871848,1066.228957,1004.402814,1470.3648,838.5695785
ENSG00000300320,Gm11826,46.69363577,12.30010569,32.74649648,17.38206058,20.07072787,12.2506788,31.61325748,29.29508207,27.98790917,30.57767524
ENSG00000279588,Gm13397,0,0,0,0,0,2.227396145,0,0,0,0
ENSG00000300302,Gm11539,88.31187634,54.94047207,102.4377582,72.7873787,66.15906595,64.96572091,87.17595244,89.55925091,77.96631842,116.7511236
ENSG00000259205,Gm12475,3.045237115,2.460021137,0.839653756,2.172757573,3.716801458,1.856163455,5.747864996,3.34800938,7.996545479,3.706384877
ENSG00000259540,Gm7363,84.25156019,14.76012682,61.29472417,27.70265906,40.14145575,38.97943255,86.21797494,46.87213132,62.97279564,63.00854292
ENSG00000140471,Gm8260,1.015079038,0,0.839653756,1.62956818,0.743360292,0.371232691,2.873932498,4.185011725,0.999568185,0
ENSG00000200095,Gm11581,1.015079038,2.460021137,0,0.543189393,0,2.227396145,0,2.511007035,0.999568185,3.706384877
ENSG00000183475,Gm11708,2.030158077,2.460021137,3.358615023,2.715946966,2.230080875,5.197257673,6.705842496,2.511007035,1.99913637,4.632981097
ENSG00000259381,Gm8606,1.015079038,0.820007046,2.518961267,0,1.486720583,2.227396145,3.831909997,1.67400469,0.999568185,2.779788658
ENSG00000212306,Llph-ps2,57.85950519,33.62028888,66.33264671,35.30731056,37.91137487,32.29724411,66.10044746,60.26416884,80.96502297,58.37556182
ENSG00000309660,Gm8806,30.45237115,88.56076095,64.6533392,85.82392414,69.13250712,56.42736902,51.73078497,66.9601876,63.97236383,61.15535048
ENSG00000259182,Gm11235,1.015079038,0,4.198268779,1.62956818,0.743360292,1.484930764,0,2.511007035,0.999568185,0.926596219
ENSG00000131871,Gm13392,7.105553269,3.280028183,8.396537558,4.345515146,4.46016175,4.454792291,4.789887497,3.34800938,5.997409109,8.339365974
ENSG00000131873,Gm11449,11.16586942,4.920042275,9.236191314,8.147840899,4.46016175,3.341094218,8.621797494,10.04402814,10.99525003,9.265962193
ENSG00000272808,Gm13196,13.1960275,2.460021137,5.877576291,2.172757573,1.486720583,1.856163455,1.915954999,3.34800938,4.997840924,7.412769755
ENSG00000184254,Ndufb4c,38.57300346,9.84008455,29.38788145,10.32059847,14.12384554,20.78903069,39.27707747,24.273068,25.98877281,29.65107902
ENSG00000303942,Gm6433,5.075395192,2.460021137,10.91549883,3.802325753,6.690242625,4.454792291,11.49572999,6.69601876,13.99395459,7.412769755
ENSG00000278456,Gm14148,3.045237115,6.560056366,15.1137676,11.40697726,2.230080875,5.197257673,7.663819995,2.511007035,5.997409109,6.486173535
ENSG00000259583,Gm6335,9.135711346,15.58013387,7.556883802,10.86378787,14.12384554,11.87944611,14.36966249,5.859016415,11.99481822,16.67873195
